address,price,beds,baths,prop_type,area
6252 Mahan Dr,998000,3,2,single_family,1817
1560 McKendrie St,1750000,4,3,single_family,2337
309 Tradewinds Dr Apt 2,399888,1,1,condo,722
5925 Charlotte Dr Unit 426,629880,1,1,condo,935
3279 Trebol Ln,1300000,4,3,single_family,2019
6584 Winterset Way,1850000,5,3,single_family,2585
5925 Charlotte Dr Unit 404,740880,2,2,condo,1316
98 Cherry Ridge Ln,588000,2,1,condo,891
3300 Narvaez Ave Spc 93,129000,2,1,mobile,800
5925 Charlotte Dr Unit 216,719880,2,2,condo,1261
1081 Lincoln Ct,1698000,3,2,single_family,1731
868 Redbird Dr,1300000,4,3,single_family,2926
1644 Ixias Ct,1250000,3,2,single_family,1286
5688 Makati Cir Apt E,599000,2,2,condo,989
1944 Scenic Sq,745000,3,2,condo,1240
2135 Wendover Ln,999000,4,2,single_family,1594
1509 W Hedding St,990000,3,1,single_family,1010
4823 Snow Dr,759000,3,2,single_family,1056
4690 Calle De Farrar,1348000,3,2,single_family,1614
1874 Creek Dr,1099000,2,1,single_family,891
2151 Oakland Rd Spc 500,229900,3,2,mobile,1152
2711 Thrush Ct,1200000,4,2,single_family,1572
1787 Mount Pleasant Rd,1150000,5,3,single_family,3164
3032 Oakbridge Dr Unit 3032,339000,3,2,mobile,1644
4472 Hampshire Pl,1298888,4,3,single_family,2159
10273 Singleton Rd,750000,3,2,single_family,1118
2775 Corde Terra Cir,968000,4,4,single_family,2116
6644 Mount Hope Dr,1568000,4,3,single_family,2113
3977 Thousand Oaks Dr,1170000,4,3,single_family,1877
464 Millpond Dr Unit 464,209000,2,2,mobile,1636
38 N Almaden Blvd Unit 902,585000,1,1,condo,655
2841 Evergreen Way,985000,4,2,single_family,1647
60 Quail Hollow Dr Unit 60,324950,2,2,mobile,1590
81 Castlebridge Dr,299888,1,1,condo,456
1845 Charmeran Ave,1098000,3,2,single_family,1120
3628 Kirk Rd,1150000,3,2,single_family,1275
1108-1112 Topaz Ave,1425000,5,0,multi_family,2531
1684 Hydrangea Ln,1995000,3,3,single_family,2085
2659 Keppler Dr,1250000,4,3,single_family,2105
1863 Newbury Park Dr,1098000,4,4,condo,1985
1541 Hallbrook Dr,1399995,3,2,single_family,2879
2776 Lantz Ave,1399000,3,2,single_family,1866
1424 Via Del Los Grande,1299999,4,3,single_family,1900
1198 Palm St,898888,4,3,single_family,1325
88 N Jackson Ave Unit 401,410000,1,1,condo,720
6682 Mount Holly Dr,1400000,4,2,single_family,1879
1585 Camden Village Cir,948000,3,3,condo,1539
1535 Four Oaks Cir,599000,2,2,condo,992
605 Balfour Dr,465000,1,1,condo,672
2166 Vizcaya Cir,1544800,3,3,condo,2656
